DRAGON_all2_e8_5504_e1_4719.lus,Invalid,0.73,2.66
DRAGON_all2_e8_5504_e7_579.lus,Invalid,0.69,2.51
DRAGON_all2.lus,Valid,5.89,40.11
DRAGON_all_e1_4022_e1_1759.lus,Valid,0.65,2.30
DRAGON_all_e1_4022_e2_267.lus,Valid,0.64,2.25
DRAGON_all_e1_4022_e3_3628.lus,Valid,0.67,2.26
DRAGON_all_e1_4022_e7_2886.lus,Invalid,0.72,2.52
DRAGON_all_e1_4037.lus,Valid,0.65,2.32
DRAGON_all_e2_6104_e1_6205.lus,Valid,0.65,2.31
DRAGON_all_e2_6104_e2_3308.lus,Valid,0.65,2.29
DRAGON_all_e2_6104_e3_2607.lus,Valid,0.68,2.26
DRAGON_all_e2_6104.lus,Valid,0.61,2.21
DRAGON_all_e3_4821_e1_1318.lus,Valid,0.66,2.36
DRAGON_all_e3_4821_e2_1089.lus,Valid,0.66,2.29
DRAGON_all_e3_4821_e4_1791.lus,Valid,0.63,2.24
DRAGON_all_e3_4821_e5_1536.lus,Valid,0.65,2.32
DRAGON_all_e3_5957.lus,Valid,0.64,2.31
DRAGON_all_e7_1941_e2_6086.lus,Invalid,0.71,2.53
DRAGON_all_e7_4065.lus,Invalid,0.74,2.66
DRAGON_all.lus,Valid,0.62,2.15
durationThm_1_e1_350.lus,Invalid,0.57,1.69
durationThm_1_e2_3.lus,Valid,0.68,2.41
durationThm_1_e3_389_e4_294.lus,Valid,0.67,2.40
durationThm_1_e3_389_e5_5.lus,Valid,0.67,2.57
durationThm_1_e3_389.lus,Valid,0.66,2.60
durationThm_1_e7_217_e1_89.lus,Invalid,0.58,1.84
durationThm_1_e7_217_e2_352.lus,Valid,1.26,6.95
durationThm_1_e7_217_e3_132.lus,Valid,1.49,9.04
durationThm_1_e7_217_e7_31.lus,Invalid,0.59,1.70
durationThm_1_e7_217.lus,Invalid,0.48,1.47
durationThm_1.lus,Timeout,290.43,1219.81
durationThm_2_e1_301.lus,Valid,2.07,12.60
durationThm_2_e2_63.lus,Valid,0.70,2.28
durationThm_2_e3_329_e4_1.lus,Valid,0.75,2.40
durationThm_2_e3_329_e5_124.lus,Valid,0.66,2.48
durationThm_2_e3_99.lus,Valid,0.65,2.44
durationThm_2_e7_145_e1_343.lus,Invalid,0.60,1.83
durationThm_2_e7_145_e2_169.lus,Valid,1.06,5.26
durationThm_2_e7_145_e3_222.lus,Valid,1.26,7.03
durationThm_2_e7_145_e7_154.lus,Invalid,0.60,1.76
durationThm_2_e7_145_e8_73.lus,Valid,1.95,11.92
durationThm_2_e7_149.lus,Invalid,0.59,1.75
